"Source","Target","Label","Type","Weight"
"don young","operating engineers union","$20,002","Undirected",14.2878566418405
"don young","edison chouest offshore","$19,700","Undirected",14.2659080092311
"don young","chugach native assn","$17,350","Undirected",14.082648042353
"don young","conocophillips","$13,675","Undirected",13.7392532125673
"don young","blank rome llp","$13,250","Undirected",13.6937047392253
"don young","western national group","$11,096","Undirected",13.4377520723236
"don young","station casinos","$10,976","Undirected",13.4220647661728
"don young","alaska air group","$10,571","Undirected",13.367824239411
"don young","chevron corp","$10,303","Undirected",13.3307768582144
"don young","fedex corp","$10,263","Undirected",13.3251648894891
"don young","comcast corp","$10,003","Undirected",13.2881451231534
"don young","cmr pac","$10,000","Undirected",13.2877123795494
"don young","credit union national assn","$10,000","Undirected",13.2877123795494
"don young","air line pilots assn","$10,000","Undirected",13.2877123795494
"don young","american crystal sugar","$10,000","Undirected",13.2877123795494
"don young","aircraft owners & pilots assn","$10,000","Undirected",13.2877123795494
"don young","carpenters & joiners union","$10,000","Undirected",13.2877123795494
"don young","eye of the tiger pac","$10,000","Undirected",13.2877123795494
"don young","majority cmte pac","$10,000","Undirected",13.2877123795494
"don young","national assn of letter carriers","$10,000","Undirected",13.2877123795494
"don young","laborers union","$10,000","Undirected",13.2877123795494
"don young","national rural letter carriers assn","$10,000","Undirected",13.2877123795494
"don young","sheet metal, air, rail & transportation union","$10,000","Undirected",13.2877123795494
"don young","national assn of home builders","$10,000","Undirected",13.2877123795494
"don young","true north pac","$10,000","Undirected",13.2877123795494
"don young","supporting electing american leaders","$10,000","Undirected",13.2877123795494
"don young","national shooting sports foundation","$9,812","Undirected",13.2603315185576
"don young","pacific seafood processors assn","$9,500","Undirected",13.2137117981057
"don young","national stone, sand & gravel assn","$8,500","Undirected",13.0532471259124
"don young","bk2 holdings","$8,400","Undirected",13.0361736125535
"don young","lockheed martin","$8,020","Undirected",12.9693865213423
"don young","land of opportunity pac","$8,000","Undirected",12.9657842846621
"don young","teamsters union","$7,925","Undirected",12.9521952199141
"don young","carnival corp","$7,850","Undirected",12.9384769386664
"don young","exxon mobil","$7,544","Undirected",12.8811139606751
"don young","cole pac","$7,500","Undirected",12.8726748802706
"don young","cowboy pac","$7,500","Undirected",12.8726748802706
"don young","american assn of nurse anesthetists","$7,500","Undirected",12.8726748802706
"don young","american council of engineering cos","$7,500","Undirected",12.8726748802706
"don young","national air traffic controllers assn","$7,500","Undirected",12.8726748802706
"don young","making america prosperous","$7,500","Undirected",12.8726748802706
"don young","new pioneers pac","$7,500","Undirected",12.8726748802706
"don young","national assn of realtors","$7,000","Undirected",12.7731392067197
"don young","united parcel service","$6,554","Undirected",12.6781599575428
"don young","marine engineers beneficial assn","$6,500","Undirected",12.6662240028032
"don young","greater tomorrow pac","$6,000","Undirected",12.5507467853832
"don young","american postal workers union","$6,000","Undirected",12.5507467853832
"don young","american pilots assn","$6,000","Undirected",12.5507467853832
"don young","van ness feldman","$6,000","Undirected",12.5507467853832
"don young","cow creek band of umpqua indians","$5,600","Undirected",12.4512111118323
"don young","craig realty group","$5,600","Undirected",12.4512111118323
"don young","choctaw nation of oklahoma","$5,600","Undirected",12.4512111118323
"don young","hunter engineering","$5,600","Undirected",12.4512111118323
"don young","franklin mountain management","$5,600","Undirected",12.4512111118323
"don young","mountaire corp","$5,600","Undirected",12.4512111118323
"don young","senegence international","$5,600","Undirected",12.4512111118323
"don young","pechanga band of luiseno mission indians","$5,600","Undirected",12.4512111118323
"don young","shakopee mdewakanton sioux community","$5,600","Undirected",12.4512111118323
"don young","yukon kusko pac","$5,600","Undirected",12.4512111118323
"don young","parman capital group","$5,600","Undirected",12.4512111118323
"don young","poarch band of creek indians","$5,600","Undirected",12.4512111118323
"don young","las vegas sands","$5,600","Undirected",12.4512111118323
"don young","marcus foundation","$5,599","Undirected",12.450953464713
"don young","bernard marcus family foundation","$5,599","Undirected",12.450953464713
"don young","national business aviation assn","$5,500","Undirected",12.4252159032994
"don young","grimmway enterprises","$5,462","Undirected",12.4152135987653
"don young","natural products assn","$5,145","Undirected",12.3289553617813
"don young","show me institute","$5,115","Undirected",12.3205185246327
"don young","crossroads strategies","$5,100","Undirected",12.3162815317462
"don young","federal aviation admin managers assn","$5,000","Undirected",12.2877123795494
"don young","council of insurance agents & brokers","$5,000","Undirected",12.2877123795494
"don young","america's communication assn","$5,000","Undirected",12.2877123795494
"don young","bringing america together","$5,000","Undirected",12.2877123795494
"don young","association of kfc franchisees","$5,000","Undirected",12.2877123795494
"don young","american physical therapy assn","$5,000","Undirected",12.2877123795494
"don young","allied pilots assn","$5,000","Undirected",12.2877123795494
"don young","associated general contractors","$5,000","Undirected",12.2877123795494
"don young","american resort development assn","$5,000","Undirected",12.2877123795494
"don young","latta pac","$5,000","Undirected",12.2877123795494
"mike rogers","leidos inc","$19,500","Undirected",14.2511865035243
"mike rogers","general atomics","$15,600","Undirected",13.929258408637
"mike rogers","mcwane inc","$11,200","Undirected",13.4512111118323
"mike rogers","dese research","$11,200","Undirected",13.4512111118323
"mike rogers","blue cross/blue shield","$11,000","Undirected",13.4252159032994
"mike rogers","l3harris technologies","$11,000","Undirected",13.4252159032994
"mike rogers","radiance technologies","$11,000","Undirected",13.4252159032994
"mike rogers","raytheon technologies","$11,000","Undirected",13.4252159032994
"mike rogers","southern co","$11,000","Undirected",13.4252159032994
"mike rogers","national assn of realtors","$10,500","Undirected",13.3581017074408
"mike rogers","bae systems","$10,500","Undirected",13.3581017074408
"mike rogers","boeing co","$10,300","Undirected",13.3303567169579
"mike rogers","bechtel group","$10,000","Undirected",13.2877123795494
"mike rogers","alabama farmers federation","$10,000","Undirected",13.2877123795494
"mike rogers","balch & bingham","$10,000","Undirected",13.2877123795494
"mike rogers","aflac inc","$10,000","Undirected",13.2877123795494
"mike rogers","american bankers assn","$10,000","Undirected",13.2877123795494
"mike rogers","american crystal sugar","$10,000","Undirected",13.2877123795494
"mike rogers","deloitte llp","$10,000","Undirected",13.2877123795494
"mike rogers","majority cmte pac","$10,000","Undirected",13.2877123795494
"mike rogers","general dynamics","$10,000","Undirected",13.2877123795494
"mike rogers","road to freedom pac","$10,000","Undirected",13.2877123795494
"mike rogers","spacex","$10,000","Undirected",13.2877123795494
"mike rogers","northrop grumman","$10,000","Undirected",13.2877123795494
"mike rogers","lockheed martin","$10,000","Undirected",13.2877123795494
"mike rogers","regions financial","$9,500","Undirected",13.2137117981057
"mike rogers","dai-ichi life","$9,100","Undirected",13.1516508299734
"mike rogers","torch technologies","$9,000","Undirected",13.1357092861044
"mike rogers","cerberus capital management","$8,500","Undirected",13.0532471259124
"mike rogers","altec inc","$8,400","Undirected",13.0361736125535
"mike rogers","brownstein, hyatt et al","$8,300","Undirected",13.0188956211216
"mike rogers","collazo enterprises","$8,300","Undirected",13.0188956211216
"mike rogers","state of alabama","$8,050","Undirected",12.9747730678893
"mike rogers","at&t inc","$8,000","Undirected",12.9657842846621
"mike rogers","ball corp","$7,500","Undirected",12.8726748802706
"mike rogers","delta air lines","$7,500","Undirected",12.8726748802706
"mike rogers","johnson controls international","$7,500","Undirected",12.8726748802706
"mike rogers","seafarers international union","$7,500","Undirected",12.8726748802706
"mike rogers","kratos defense & security solutions","$7,000","Undirected",12.7731392067197
"mike rogers","air line pilots assn","$7,000","Undirected",12.7731392067197
"mike rogers","cadence bank","$7,000","Undirected",12.7731392067197
"mike rogers","southern cotton growers inc","$7,000","Undirected",12.7731392067197
"mike rogers","bob riley & assoc","$6,600","Undirected",12.6882503091332
"mike rogers","dell technologies","$6,500","Undirected",12.6662240028032
"mike rogers","elbit systems","$6,500","Undirected",12.6662240028032
"mike rogers","cubic corp","$6,000","Undirected",12.5507467853832
"mike rogers","farm credit council","$6,000","Undirected",12.5507467853832
"mike rogers","cmr pac","$6,000","Undirected",12.5507467853832
"mike rogers","american council of engineering cos","$6,000","Undirected",12.5507467853832
"mike rogers","american assn of nurse anesthetists","$6,000","Undirected",12.5507467853832
"mike rogers","motorola solutions","$6,000","Undirected",12.5507467853832
"mike rogers","national cotton council","$6,000","Undirected",12.5507467853832
"mike rogers","brasfield & gorrie","$5,800","Undirected",12.5018371849023
"mike rogers","davidson technologies","$5,600","Undirected",12.4512111118323
"mike rogers","agm consulting services","$5,600","Undirected",12.4512111118323
"mike rogers","aronov realty management","$5,600","Undirected",12.4512111118323
"mike rogers","aronov realty co","$5,600","Undirected",12.4512111118323
"mike rogers","great southern wood preserving","$5,600","Undirected",12.4512111118323
"mike rogers","monte sano research","$5,600","Undirected",12.4512111118323
"mike rogers","mckinney capital","$5,600","Undirected",12.4512111118323
"mike rogers","poarch band of creek indians","$5,600","Undirected",12.4512111118323
"mike rogers","american chiropractic assn","$5,500","Undirected",12.4252159032994
"mike rogers","rocky research","$5,400","Undirected",12.3987436919382
"mike rogers","fedex corp","$5,300","Undirected",12.3717766443379
"mike rogers","globe life","$5,000","Undirected",12.2877123795494
"mike rogers","geo group","$5,000","Undirected",12.2877123795494
"mike rogers","home depot","$5,000","Undirected",12.2877123795494
"mike rogers","huck pac","$5,000","Undirected",12.2877123795494
"mike rogers","national apartment assn","$5,000","Undirected",12.2877123795494
"mike rogers","intel corp","$5,000","Undirected",12.2877123795494
"mike rogers","maynard, cooper & gale","$5,000","Undirected",12.2877123795494
"mike rogers","amazon.com","$5,000","Undirected",12.2877123795494
"mike rogers","aerojet rocketdyne holdings","$5,000","Undirected",12.2877123795494
"mike rogers","american sugar cane league","$5,000","Undirected",12.2877123795494
"mike rogers","atlas air worldwide","$5,000","Undirected",12.2877123795494
"mike rogers","bradley, arant et al","$5,000","Undirected",12.2877123795494
"mike rogers","caterpillar inc","$5,000","Undirected",12.2877123795494
