"Source","Target","Label","Type","Weight"
"jerry carl","brett robinson real estate","$19,910","Undirected",14.2812056006079
"jerry carl","poarch band of creek indians","$17,400","Undirected",14.0867996856235
"jerry carl","radiance technologies","$12,500","Undirected",13.6096404744368
"jerry carl","magnolia marketing","$11,600","Undirected",13.5018371849023
"jerry carl","majority cmte pac","$10,000","Undirected",13.2877123795494
"jerry carl","regions financial","$10,000","Undirected",13.2877123795494
"jerry carl","southern co","$10,000","Undirected",13.2877123795494
"jerry carl","blue cross/blue shield","$10,000","Undirected",13.2877123795494
"jerry carl","eye of the tiger pac","$10,000","Undirected",13.2877123795494
"jerry carl","home depot","$10,000","Undirected",13.2877123795494
"jerry carl","huck pac","$10,000","Undirected",13.2877123795494
"jerry carl","airbus group","$10,000","Undirected",13.2877123795494
"jerry carl","alabama farmers federation","$10,000","Undirected",13.2877123795494
"jerry carl","drummond co","$9,500","Undirected",13.2137117981057
"jerry carl","american israel public affairs cmte","$8,150","Undirected",12.9925843440058
"jerry carl","national assn of realtors","$8,000","Undirected",12.9657842846621
"jerry carl","american crystal sugar","$7,500","Undirected",12.8726748802706
"jerry carl","american council of engineering cos","$7,000","Undirected",12.7731392067197
"jerry carl","national rural electric cooperative assn","$7,000","Undirected",12.7731392067197
"jerry carl","cooper/t smith corp","$6,800","Undirected",12.7313190310251
"jerry carl","general dynamics","$6,500","Undirected",12.6662240028032
"jerry carl","re/max realty","$6,500","Undirected",12.6662240028032
"jerry carl","van scoyoc assoc","$6,500","Undirected",12.6662240028032
"jerry carl","jones walker llp","$6,000","Undirected",12.5507467853832
"jerry carl","american sportfishing assn","$6,000","Undirected",12.5507467853832
"jerry carl","agua caliente band of cahuilla indians","$5,800","Undirected",12.5018371849023
"jerry carl","spriggs enterprises","$5,800","Undirected",12.5018371849023
"jerry carl","austal ltd","$5,600","Undirected",12.4512111118323
"jerry carl","s-3 group","$5,300","Undirected",12.3717766443379
"jerry carl","adams & reese","$5,250","Undirected",12.3581017074408
"jerry carl","us peanut pac","$5,000","Undirected",12.2877123795494
"jerry carl","alabama peanut producers assn","$5,000","Undirected",12.2877123795494
"jerry carl","raytheon technologies","$5,000","Undirected",12.2877123795494
"jerry carl","save america","$5,000","Undirected",12.2877123795494
"jerry carl","seafarers international union","$5,000","Undirected",12.2877123795494
"jerry carl","national stone, sand & gravel assn","$5,000","Undirected",12.2877123795494
"jerry carl","national community pharmacists assn","$5,000","Undirected",12.2877123795494
"jerry carl","mike schmitz automotive group","$5,000","Undirected",12.2877123795494
"jerry carl","maynard, cooper & gale","$5,000","Undirected",12.2877123795494
"jerry carl","ap moller-maersk","$5,000","Undirected",12.2877123795494
"jerry carl","associated builders & contractors","$5,000","Undirected",12.2877123795494
"jerry carl","credit union national assn","$5,000","Undirected",12.2877123795494
"jerry carl","cleveland-cliffs","$5,000","Undirected",12.2877123795494
"jerry carl","huntington ingalls industries","$5,000","Undirected",12.2877123795494
"jerry carl","honeywell international","$5,000","Undirected",12.2877123795494
"jerry carl","great southern wood preserving","$5,000","Undirected",12.2877123795494
"jerry carl","dai-ichi life","$5,000","Undirected",12.2877123795494
"jerry carl","american sugar cane league","$5,000","Undirected",12.2877123795494
"jerry carl","american bankers assn","$5,000","Undirected",12.2877123795494
"jerry carl","santa ynez band of chumash indians","$4,900","Undirected",12.2585660338899
"jerry carl","bae systems","$4,500","Undirected",12.1357092861044
"jerry carl","torch technologies","$4,500","Undirected",12.1357092861044
"jerry carl","ja green & co","$4,400","Undirected",12.103287808412
"jerry carl","scalise for congress","$4,000","Undirected",11.9657842846621
"jerry carl","professional compounding centers of america","$4,000","Undirected",11.9657842846621
"jerry carl","american optometric assn","$4,000","Undirected",11.9657842846621
"jerry carl","qualis corp","$3,650","Undirected",11.8336807486547
"jerry carl","resource management service llc","$3,569","Undirected",11.801304186049
"jerry carl","point action pac","$3,500","Undirected",11.7731392067197
"jerry carl","national cotton council","$3,500","Undirected",11.7731392067197
"jerry carl","national beer wholesalers assn","$3,500","Undirected",11.7731392067197
"jerry carl","parsons corp","$3,500","Undirected",11.7731392067197
"jerry carl","csx corp","$3,500","Undirected",11.7731392067197
"jerry carl","auto care assn","$3,500","Undirected",11.7731392067197
"jerry carl","center for sportfishing policy","$3,500","Undirected",11.7731392067197
"jerry carl","brett robinson corp","$3,450","Undirected",11.7523806465529
"jerry carl","elcan & assoc","$3,000","Undirected",11.5507467853832
"jerry carl","national federation of independent business","$3,000","Undirected",11.5507467853832
"jerry carl","lathan co","$3,000","Undirected",11.5507467853832
"jerry carl","let's all keep electing republicans pac","$3,000","Undirected",11.5507467853832
"jerry carl","scotch & gulf lumber","$3,000","Undirected",11.5507467853832
"jay obernolte","esri","$11,600","Undirected",13.5018371849023
"jay obernolte","karem aircraft","$10,700","Undirected",13.3853231761759
"jay obernolte","majority cmte pac","$10,000","Undirected",13.2877123795494
"jay obernolte","eye of the tiger pac","$10,000","Undirected",13.2877123795494
"jay obernolte","steadfast companies","$8,300","Undirected",13.0188956211216
"jay obernolte","american israel public affairs cmte","$7,900","Undirected",12.9476369379518
"jay obernolte","williams companies","$7,500","Undirected",12.8726748802706
"jay obernolte","republican governance group","$7,000","Undirected",12.7731392067197
