"Contributor","Total","PACs","Individuals","Senator"
"Walt Disney Co","$6708","$0","$6708","Shervin Aazami"
"101 Family Medical Group","$5700","$0","$5700","Shervin Aazami"
"Forplay Inc","$5550","$0","$5550","Shervin Aazami"
"Dss Management Inc","$5000","$0","$5000","Shervin Aazami"
"National Council of Urban Indian Healt","$4534","$0","$4534","Shervin Aazami"
"Ashmi for Congress","$4000","$2000","$2000","Shervin Aazami"
"Softsource Inc","$4000","$0","$4000","Shervin Aazami"
"Truebill","$3900","$0","$3900","Shervin Aazami"
"University of California","$3650","$0","$3650","Shervin Aazami"
"California State University","$3550","$0","$3550","Shervin Aazami"
"Alphabet Inc","$13832","$0","$13832","Rana Abdelhamid"
"Harvard University","$7700","$0","$7700","Rana Abdelhamid"
"Matrix Anesthesia","$7050","$0","$7050","Rana Abdelhamid"
"Touchpoint Meda","$6800","$0","$6800","Rana Abdelhamid"
"Ids Real Estate Group","$5800","$0","$5800","Rana Abdelhamid"
"Cleveland Va Research Foundation","$5750","$0","$5750","Rana Abdelhamid"
"Apple Inc","$5650","$0","$5650","Rana Abdelhamid"
"Justice Democrats","$5000","$5000","$0","Rana Abdelhamid"
"Meta","$3960","$0","$3960","Rana Abdelhamid"
"Vanderbilt University","$3250","$0","$3250","Rana Abdelhamid"
"Archer Auto Group","$500","$0","$500","Julian Acciard"
"Dr Frayda Lindemann","$250","$0","$250","Julian Acciard"
"Forest City Heating & A/C","$2783","$0","$2783","Michael Ackerman"
"Metro Tech","$959","$0","$959","Michael Ackerman"
"Dobson Davanzo & Assoc","$718","$0","$718","Michael Ackerman"
"Town Hall Event","$665","$0","$665","Michael Ackerman"
"Larry Vilott Printing","$518","$0","$518","Michael Ackerman"
"Cambridge Properties","$479","$0","$479","Michael Ackerman"
"Signalpath LLC","$479","$0","$479","Michael Ackerman"
"Estate Planning Center","$250","$0","$250","Michael Ackerman"
"Grace Academy","$250","$0","$250","Michael Ackerman"
"Apollo Global Management","$26000","$0","$26000","Alma Adams"
"Blue Cross/Blue Shield","$12500","$12500","$0","Alma Adams"
"Wells Fargo","$12425","$7000","$5425","Alma Adams"
"Duke Energy","$10500","$10000","$500","Alma Adams"
"Truist Financial","$10500","$10000","$500","Alma Adams"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Alma Adams"
"American Federation of Teachers","$10000","$10000","$0","Alma Adams"
