"Id","Elected","Amount","Label","Size","Color","ElectColor"
"shervin aazami",FALSE,46592,"Shervin Aazami",2.92975386141029,"blue","grey"
"rana abdelhamid",FALSE,64792,"Rana Abdelhamid",3.02797397813895,"blue","grey"
"michael ackerman",FALSE,7101,"Michael Ackerman",2.42734748165266,"red","grey"
"alma adams",TRUE,121925,"Alma Adams",3.22559083480275,"blue","blue"
"robert aderholt",TRUE,144857,"Robert Aderholt",3.28166275940324,"red","red"
"amanda adkins",FALSE,322400,"Amanda Adkins",3.55499916708584,"red","grey"
"erick aguilar",FALSE,16799,"Erick Aguilar",2.64562534839701,"red","grey"
"pete aguilar",TRUE,226350,"Pete Aguilar",3.4314529610454,"blue","blue"
"junaid ahmed",FALSE,111900,"Junaid Ahmed",3.19803349928378,"blue","grey"
"timothy alexander",FALSE,57700,"Timothy Alexander",2.99307487495906,"blue","grey"
"graham allen",FALSE,40700,"Graham Allen",2.89040993227481,"red","grey"
"richard allen",TRUE,111100,"Richard Allen",3.19573975922524,"red","red"
"tammy allison",FALSE,8236,"Tammy Allison",2.46360815941734,"blue","grey"
"colin allred",TRUE,176293,"Colin Allred",3.34675180915674,"blue","blue"
"bruno amato",FALSE,10235,"Bruno Amato",2.51772785463162,"blue","grey"
"mark amodei",TRUE,119600,"Mark Amodei",3.21938649548197,"red","red"
"manga anantatmula",FALSE,17351,"Manga Anantatmula",2.65419270371815,"red","grey"
"sylvester ani",FALSE,8748,"Sylvester Ani",2.47851115253445,"blue","grey"
"eddy aragon",FALSE,9300,"Eddy Aragon",2.49372348224712,"red","grey"
"phil arballo",FALSE,81875,"Phil Arballo",3.09966765380466,"blue","grey"
"chelsea ardoin",FALSE,3950,"Chelsea Ardoin",2.28907335176616,"red","grey"
"val arkoosh",FALSE,213528,"Val Arkoosh",3.4115008453218,"blue","grey"
"irene armendariz-jackson",FALSE,32107,"Irene Armendariz-Jackson",2.8226691245994,"red","grey"
"kelly armstrong",TRUE,127250,"Kelly Armstrong",3.23940896009923,"red","red"
"jodey arrington",TRUE,105600,"Jodey Arrington",3.17955536606973,"red","red"
"barbara arthur",FALSE,10280,"Barbara Arthur",2.51883263446042,"red","grey"
"jake auchincloss",TRUE,352700,"Jake Auchincloss",3.58707573338971,"blue","blue"
"cindy axne",FALSE,444347,"Cindy Axne",3.67089722172136,"blue","grey"
"andy baan",FALSE,14500,"Andy Baan",2.60697460244164,"red","grey"
"brian babin",TRUE,116350,"Brian Babin",3.21052930757174,"red","red"
"donald bacon",TRUE,501393,"Donald Bacon",3.71550479951715,"red","red"
"kathleen bailey",FALSE,12293,"Kathleen Bailey",2.56428202553198,"blue","grey"
"jim baird",TRUE,152500,"Jim Baird",3.29857971852474,"red","red"
"troy balderson",TRUE,124950,"Troy Balderson",3.2335056641974,"red","red"
"jim banks",TRUE,135950,"Jim Banks",3.26090330691012,"red","red"
"cindy banyai",FALSE,19630,"Cindy Banyai",2.68715074249298,"blue","grey"
"john barnes",FALSE,3550,"John Barnes",2.26476338625138,"blue","grey"
"kathy barnette",FALSE,105300,"Kathy Barnette",3.17865092644838,"red","grey"
"andy barr",TRUE,192015,"Andy Barr",3.37546427320862,"red","red"
"timothy barr",FALSE,70350,"Timothy Barr",3.05299722940838,"red","grey"
"nanette barragan",TRUE,129950,"Nanette Barragan",3.24621760262608,"blue","blue"
"jeff bartos",FALSE,12000,"Jeff Bartos",2.55810357480153,"red","grey"
"gary barve",FALSE,5775,"Gary Barve",2.37768982266397,"red","grey"
"karen bass",FALSE,66562,"Karen Bass",3.03614589174128,"blue","grey"
"gillian battino",FALSE,39000,"Gillian Battino",2.87810385175808,"blue","grey"
"kevin baumlin",FALSE,44800,"Kevin Baumlin",2.91828566207824,"blue","grey"
"jasmine beach-ferrara",FALSE,80610,"Jasmine Beach-Ferrara",3.09484492238356,"blue","grey"
"lydia bean",FALSE,33400,"Lydia Bean",2.83383556653426,"blue","grey"
"cheri beasley",FALSE,1144828,"Cheri Beasley",4.03528324601026,"blue","grey"
"john beatty",FALSE,17850,"John Beatty",2.66172891239099,"red","grey"
"joyce beatty",TRUE,236300,"Joyce Beatty",3.44624677073303,"blue","blue"
"april becker",FALSE,141850,"April Becker",3.27478606740464,"red","grey"
"rodney beebe",FALSE,8650,"Rodney Beebe",2.47572048817954,"red","grey"
"jarome bell",FALSE,26875,"Jarome Bell",2.77290408333754,"red","grey"
"leon benjamin",FALSE,42557,"Leon Benjamin",2.90333467201601,"red","grey"
"michael bennet",TRUE,712119,"Michael Bennet",3.84817892970511,"blue","blue"
"cliff bentz",TRUE,97600,"Cliff Bentz",3.15460495956785,"red","red"
"ami bera",TRUE,145650,"Ami Bera",3.28345485083874,"blue","blue"
"matt berg",FALSE,21000,"Matt Berg",2.70534047102685,"blue","grey"
"john bergman",FALSE,163050,"John Bergman",3.32071864260889,"red","grey"
"claston bernard",FALSE,51300,"Claston Bernard",2.95809240589441,"red","grey"
"jaime beutler",FALSE,298610,"Jaime Beutler",3.52785262853357,"red","grey"
"don beyer",TRUE,187000,"Don Beyer",3.36654295876825,"blue","blue"
"stephanie bice",TRUE,137500,"Stephanie Bice",3.26460220644947,"red","red"
"andy biggs",TRUE,117800,"Andy Biggs",3.21450813404653,"red","red"
"gus bilirakis",TRUE,123000,"Gus Bilirakis",3.22842358344281,"red","red"
"christine bish",FALSE,25400,"Christine Bish",2.75729587853063,"red","grey"
"dan bishop",TRUE,147050,"Dan Bishop",3.2865973662288,"red","red"
"sanford bishop",TRUE,165271,"Sanford Bishop",3.32521449892561,"blue","blue"
"walt blackman",FALSE,67700,"Walt Blackman",3.04129723333455,"red","grey"
"andy blalock",FALSE,11139,"Andy Blalock",2.53912815052981,"red","grey"
"lynda blanchard",FALSE,67200,"Lynda Blanchard",3.03904357567176,"red","grey"
"earl blumenauer",TRUE,114996,"Earl Blumenauer",3.20677340684426,"blue","blue"
"richard blumenthal",TRUE,577442,"Richard Blumenthal",3.76834656503595,"blue","blue"
"lauren boebert",TRUE,312071,"Lauren Boebert",3.54344210404987,"red","red"
"don bolduc",FALSE,73640,"Don Bolduc",3.06698306530749,"red","grey"
"suzanne bonamici",TRUE,116225,"Suzanne Bonamici",3.21018421920568,"blue","blue"
"charles booker",FALSE,155571,"Charles Booker",3.30516286284465,"blue","grey"
"john boozman",TRUE,526922,"John Boozman",3.7340027473975,"red","red"
"rene borghese",FALSE,21451,"Rene Borghese",2.71109511389116,"red","grey"
"mike bost",TRUE,121800,"Mike Bost",3.22525998797832,"red","red"
"anthony bouchard",FALSE,32000,"Anthony Bouchard",2.82172702632093,"red","grey"
"carolyn bourdeaux",FALSE,746024,"Carolyn Bourdeaux",3.86611955495607,"blue","grey"
"jamaal bowman",TRUE,123932,"Jamaal Bowman",3.2308615347941,"blue","blue"
"carl boyanton",FALSE,9475,"Carl Boyanton",2.49837670504782,"red","grey"
"brendan boyle",TRUE,130200,"Brendan Boyle",3.2468415754453,"blue","blue"
"james bradley",FALSE,9910,"James Bradley",2.50961652536403,"red","grey"
"mo brooks",FALSE,383026,"Mo Brooks",3.61678610464046,"red","grey"
"raymond brooks",FALSE,10450,"Raymond Brooks",2.52296734270214,"red","grey"
"hillery brotschol",FALSE,2200,"Hillery Brotschol",2.15894842729183,"red","grey"
"paul broun",FALSE,44000,"Paul Broun",2.91303208195668,"red","grey"
"anthony brown",FALSE,62663,"Anthony Brown",3.01787410293439,"blue","grey"
"jesse brown",FALSE,26105,"Jesse Brown",2.76485506142101,"red","grey"
"kathleen brown",FALSE,23230,"Kathleen Brown",2.73278157542704,"blue","grey"
"shontel brown",TRUE,1104266,"Shontel Brown",4.02075277226389,"blue","blue"
"julia brownley",TRUE,130071,"Julia Brownley",3.24651974025136,"blue","blue"
"vernon buchanan",TRUE,361550,"Vernon Buchanan",3.5959764309976,"red","red"
"ken buck",TRUE,464700,"Ken Buck",3.68737466342016,"red","red"
"larry bucshon",TRUE,151300,"Larry Bucshon",3.2959748777544,"red","red"
"ted budd",TRUE,565715,"Ted Budd",3.76062275373274,"red","red"
