Name,First,Middle,Last
Tommy Tuberville,Tommy,NA,Tuberville
Katie Britt,Katie,NA,Britt
Dan Sullivan,Dan,NA,Sullivan
Kyrsten Sinema,Kyrsten,NA,Sinema
Mark Kelly,Mark,NA,Kelly
Tom Cotton,Tom,NA,Cotton
John Boozman,John,NA,Boozman
Dianne Feinstein,Dianne,NA,Feinstein
Alex Padilla,Alex,NA,Padilla
John Hickenlooper,John,NA,Hickenlooper
Michael Bennet,Michael,NA,Bennet
Chris Murphy,Chris,NA,Murphy
Richard Blumenthal,Richard,NA,Blumenthal
Tom Carper,Tom,NA,Carper
Chris Coons,Chris,NA,Coons
Rick Scott,Rick,NA,Scott
Marco Rubio,Marco,NA,Rubio
Jon Ossoff,Jon,NA,Ossoff
Mazie Hirono,Mazie,NA,Hirono
Brian Schatz,Brian,NA,Schatz
Jim Risch,Jim,NA,Risch
Mike Crapo,Mike,NA,Crapo
Dick Durbin,Dick,NA,Durbin
Tammy Duckworth,Tammy,NA,Duckworth
Mike Braun,Mike,NA,Braun
Todd Young,Todd,NA,Young
Joni Ernst,Joni,NA,Ernst
Chuck Grassley,Chuck,NA,Grassley
Roger Marshall,Roger,NA,Marshall
Jerry Moran,Jerry,NA,Moran
Mitch McConnell,Mitch,NA,McConnell
Rand Paul,Rand,NA,Paul
Bill Cassidy,Bill,NA,Cassidy
John Kennedy,John,NA,Kennedy
Angus King,Angus,NA,King
Susan Collins,Susan,NA,Collins
Ben Cardin,Ben,NA,Cardin
Chris Van Hollen,Chris,Van,Hollen
Elizabeth Warren,Elizabeth,NA,Warren
Ed Markey,Ed,NA,Markey
Debbie Stabenow,Debbie,NA,Stabenow
Gary Peters,Gary,NA,Peters
Amy Klobuchar,Amy,NA,Klobuchar
Tina Smith,Tina,NA,Smith
Roger Wicker,Roger,NA,Wicker
Cindy Hyde-Smith,Cindy,NA,Hyde-Smith
Josh Hawley,Josh,NA,Hawley
Eric Schmitt,Eric,NA,Schmitt
Jon Tester,Jon,NA,Tester
Steve Daines,Steve,NA,Daines
Deb Fischer,Deb,NA,Fischer
Ben Sasse,Ben,NA,Sasse
Jacky Rosen,Jacky,NA,Rosen
Catherine Cortez Masto,Catherine,Cortez,Masto
