"Target","Label","Source","Type","Weight"
"walt disney co","$6708","shervin aazami","Undirected",12.7116669735643
"101 family medical group","$5700","shervin aazami","Undirected",12.4767462039395
"forplay inc","$5550","shervin aazami","Undirected",12.4382720561248
"dss management inc","$5000","shervin aazami","Undirected",12.2877123795494
"national council of urban indian healt","$4534","shervin aazami","Undirected",12.1465686757408
"ashmi for congress","$4000","shervin aazami","Undirected",11.9657842846621
"softsource inc","$4000","shervin aazami","Undirected",11.9657842846621
"truebill","$3900","shervin aazami","Undirected",11.929258408637
"university of california","$3650","shervin aazami","Undirected",11.8336807486547
"california state university","$3550","shervin aazami","Undirected",11.7936033092794
"alphabet inc","$13832","rana abdelhamid","Undirected",13.7557221536423
"harvard university","$7700","rana abdelhamid","Undirected",12.9106427304696
"matrix anesthesia","$7050","rana abdelhamid","Undirected",12.7834075421735
"touchpoint meda","$6800","rana abdelhamid","Undirected",12.7313190310251
"ids real estate group","$5800","rana abdelhamid","Undirected",12.5018371849023
"cleveland va research foundation","$5750","rana abdelhamid","Undirected",12.4893462407191
"apple inc","$5650","rana abdelhamid","Undirected",12.4640351521899
"justice democrats","$5000","rana abdelhamid","Undirected",12.2877123795494
"meta","$3960","rana abdelhamid","Undirected",11.951284714967
"vanderbilt university","$3250","rana abdelhamid","Undirected",11.6662240028032
"forest city heating & a/c","$2783","michael ackerman","Undirected",11.4424251933316
"apollo global management","$26000","alma adams","Undirected",14.6662240028032
"blue cross/blue shield","$12500","alma adams","Undirected",13.6096404744368
"wells fargo","$12425","alma adams","Undirected",13.600958231337
"duke energy","$10500","alma adams","Undirected",13.3581017074408
"truist financial","$10500","alma adams","Undirected",13.3581017074408
"american federation of state/cnty/munic employees","$10000","alma adams","Undirected",13.2877123795494
"american federation of teachers","$10000","alma adams","Undirected",13.2877123795494
"american postal workers union","$10000","alma adams","Undirected",13.2877123795494
"at&t inc","$10000","alma adams","Undirected",13.2877123795494
"home depot","$10000","alma adams","Undirected",13.2877123795494
"mcwane inc","$22900","robert b aderholt","Undirected",14.4830599778717
"drummond co","$17000","robert b aderholt","Undirected",14.0532471259124
"maynard, cooper & gale","$16000","robert b aderholt","Undirected",13.9657842846621
"general atomics","$15800","robert b aderholt","Undirected",13.9476369379518
"parker towing","$13200","robert b aderholt","Undirected",13.6882503091332
"dai-ichi life","$12500","robert b aderholt","Undirected",13.6096404744368
"southern co","$12500","robert b aderholt","Undirected",13.6096404744368
"sierra nevada corp","$11800","robert b aderholt","Undirected",13.5264992391366
"hunt companies","$11600","robert b aderholt","Undirected",13.5018371849023
"honeywell international","$11557","robert b aderholt","Undirected",13.4964793269709
"herzog","$82500","amanda adkins","Undirected",16.3321064989079
"lockton companies","$36650","amanda adkins","Undirected",15.1615255779085
"value health inc","$35000","amanda adkins","Undirected",15.0950673016071
"nueterra capital","$33400","amanda adkins","Undirected",15.0275604822488
"ecco select","$26500","amanda adkins","Undirected",14.6937047392253
"kiewit corp","$22900","amanda adkins","Undirected",14.4830599778717
"cohen-esrey real estate services","$22800","amanda adkins","Undirected",14.4767462039395
"oracle corp","$22050","amanda adkins","Undirected",14.4284910353322
"crossland construction","$20300","amanda adkins","Undirected",14.3091921069599
"tifec llc","$20300","amanda adkins","Undirected",14.3091921069599
"supporting electing american leaders","$5000","erick aguilar","Undirected",12.2877123795494
"cessna communications","$1672","erick aguilar","Undirected",10.7073591320809
"pre-3","$1425","erick aguilar","Undirected",10.4767462039395
"hyundai motor america","$1416","erick aguilar","Undirected",10.467605550083
"baymont inn suites","$1365","erick aguilar","Undirected",10.4146852358072
"regenesis biomedical","$1354","erick aguilar","Undirected",10.403012023575
"horse boarding","$1218","erick aguilar","Undirected",10.2502984179063
"wholistic health coach","$1160","erick aguilar","Undirected",10.1799090900149
"andrew farms","$1105","erick aguilar","Undirected",10.1098306542788
"project management consultant","$1084","erick aguilar","Undirected",10.0821490413539
"votesane pac","$55000","pete aguilar","Undirected",15.7471439981867
"american israel public affairs cmte","$31800","pete aguilar","Undirected",14.9567391450591
"gentex","$27200","pete aguilar","Undirected",14.7313190310251
"comcast corp","$21850","pete aguilar","Undirected",14.4153456592753
"rock holdings","$19000","pete aguilar","Undirected",14.2137117981057
"microsoft corp","$15600","pete aguilar","Undirected",13.929258408637
"blue cross/blue shield","$15000","pete aguilar","Undirected",13.8726748802706
"general atomics","$14000","pete aguilar","Undirected",13.7731392067197
"telacu","$13700","pete aguilar","Undirected",13.7418882727353
"gentex corp","$13200","pete aguilar","Undirected",13.6882503091332
"sahara","$17400","junaid ahmed","Undirected",14.0867996856235
"amazon.com","$14750","junaid ahmed","Undirected",13.8484273340239
"microsoft corp","$12900","junaid ahmed","Undirected",13.655083445198
"advocate aurora health","$11750","junaid ahmed","Undirected",13.5203731363397
"bofa","$9850","junaid ahmed","Undirected",13.2659080092311
"accenture","$9800","junaid ahmed","Undirected",13.2585660338899
"abbvie inc","$9450","junaid ahmed","Undirected",13.2060986139958
"dysis","$9000","junaid ahmed","Undirected",13.1357092861044
"hyline dental","$8500","junaid ahmed","Undirected",13.0532471259124
"mansoor pediatrics","$8500","junaid ahmed","Undirected",13.0532471259124
"the majority rules","$10000","timothy c alexander","Undirected",13.2877123795494
"baupost group","$5800","timothy c alexander","Undirected",12.5018371849023
"breakthru beverage group","$5800","timothy c alexander","Undirected",12.5018371849023
"intelligent communication systems","$5800","timothy c alexander","Undirected",12.5018371849023
"intermediate capital group","$5800","timothy c alexander","Undirected",12.5018371849023
"always best care","$5000","timothy c alexander","Undirected",12.2877123795494
"drd consulting","$5000","timothy c alexander","Undirected",12.2877123795494
"unite here","$5000","timothy c alexander","Undirected",12.2877123795494
"united food & commercial workers union","$5000","timothy c alexander","Undirected",12.2877123795494
"tuckahoe brewery","$4500","timothy c alexander","Undirected",12.1357092861044
"black rifle coffee","$5800","graham allen","Undirected",12.5018371849023
"buff enterprises","$5800","graham allen","Undirected",12.5018371849023
"rapid loop consulting llc","$5800","graham allen","Undirected",12.5018371849023
