"Id","Amount","Label","Size","Color"
"jerry carl",606895,"Jerry Carl",3.78713996404868,"red"
"jay obernolte",422777,"Jay Obernolte",3.65267586693259,"red"
"young kim",1067230,"Young Kim",4.00705960382814,"red"
"michelle steel",951418,"Michelle Steel",3.96129454928342,"red"
"sara jacobs",456320,"Sara Jacobs",3.68067058467606,"blue"
"lauren boebert",814330,"Lauren Boebert",3.90013862284658,"red"
"katherine cammack",741836,"Katherine Cammack",3.86394370577807,"red"
"scott franklin",530273,"Scott Franklin",3.73637064586842,"red"
"byron donalds",719644,"Byron Donalds",3.85222611322392,"red"
"carlos giménez",903968,"Carlos Giménez",3.94108049905324,"red"
"maria salazar",914088,"Maria Salazar",3.94547050201339,"red"
"nikema williams",610525,"Nikema Williams",3.78939907901455,"blue"
"carolyn bourdeaux",1178375,"Carolyn Bourdeaux",4.04695478302495,"blue"
"andrew clyde",347282,"Andrew Clyde",3.5815269825048,"red"
"marjorie greene",442752,"Marjorie Greene",3.66957740628677,"red"
"kaiali'i kahele",370055,"Kaiali'i Kahele",3.60434727105382,"blue"
"ashley hinson",1022769,"Ashley Hinson",3.99004464993238,"red"
"mariannette miller-meeks",921200,"Mariannette Miller-Meeks",3.9485295535961,"red"
"randy feenstra",893865,"Randy Feenstra",3.93665352634326,"red"
"marie newman",532668,"Marie Newman",3.73805477310309,"blue"
"mary miller",614653,"Mary Miller",3.79195347850586,"red"
"frank mrvan",721100,"Frank Mrvan",3.85300479562581,"blue"
"victoria spartz",704418,"Victoria Spartz",3.8439970392985,"red"
"tracey mann",687150,"Tracey Mann",3.83446832936763,"red"
"jacob laturner",817567,"Jacob LaTurner",3.90168618005625,"red"
"jake auchincloss",1172025,"Jake Auchincloss",4.04476866289027,"blue"
"peter meijer",1006029,"Peter Meijer",3.98346540659221,"red"
"lisa mcclain",620050,"Lisa McClain",3.795269944328,"red"
"michelle fischbach",683932,"Michelle Fischbach",3.83266880956029,"red"
"cori bush",397095,"Cori Bush",3.62985637934504,"blue"
"matthew rosendale",716830,"Matthew Rosendale",3.85071713291902,"red"
"deborah ross",670656,"Deborah Ross",3.82516330958516,"blue"
"kathy manning",811162,"Kathy Manning",3.89861868339962,"blue"
"david cawthorn",594839,"David Cawthorn",3.7795486810959,"red"
"teresa fernandez",670503,"Teresa Fernandez",3.82507603532276,"blue"
"andrew garbarino",1280357,"Andrew Garbarino",4.08068534214605,"red"
"nicole malliotakis",1047769,"Nicole Malliotakis",3.99969204726332,"red"
"ritchie torres",1289889,"Ritchie Torres",4.08371320018473,"blue"
"jamaal bowman",501714,"Jamaal Bowman",3.71574260370923,"blue"
"mondaire jones",1136340,"Mondaire Jones",4.03228137147312,"blue"
"stephanie bice",787584,"Stephanie Bice",3.88713557779897,"red"
"cliff bentz",493317,"Cliff Bentz",3.70947636386152,"red"
"madeleine dean",762541,"Madeleine Dean",3.87459505593716,"blue"
"mary gay scanlon",668575,"Mary Gay Scanlon",3.82397472681362,"blue"
"susan wild",1250741,"Susan Wild",4.0711465742849,"blue"
"nancy mace",861751,"Nancy Mace",3.92227626249278,"red"
"diana harshbarger",487841,"Diana Harshbarger",3.70533799462741,"red"
"patrick fallon",432814,"Patrick Fallon",3.66125628340522,"red"
"august pfluger",901807,"August Pfluger",3.94013734058663,"red"
"ronny jackson",647130,"Ronny Jackson",3.81152834096907,"red"
"troy nehls",508882,"Troy Nehls",3.72101746935451,"red"
