"Id","Amount","Label","Size","Color"
"daniel sullivan",247334,"Daniel Sullivan",3.46201051111719,"red"
"lisa murkowski",1447888,"Lisa Murkowski",4.13117409091678,"red"
"tommy tuberville",431450,"Tommy Tuberville",3.66010081016048,"red"
"john boozman",1354683,"John Boozman",4.10377714157394,"red"
"tom cotton",696260,"Tom Cotton",3.83952186021439,"red"
"kyrsten sinema",2514892,"Kyrsten Sinema",4.36568034932328,"blue"
"mark kelly",3099053,"Mark Kelly",4.45782381854157,"blue"
"dianne feinstein",4345,"Dianne Feinstein",2.31099485220171,"blue"
"alejandro padilla",2333421,"Alejandro Padilla",4.33310596979225,"blue"
"john hickenlooper",206599,"John Hickenlooper",3.40026544127676,"blue"
"michael bennet",2068038,"Michael Bennet",4.28110472227033,"blue"
"christopher murphy",210320,"Christopher Murphy",3.40634049338,"blue"
"richard blumenthal",1877681,"Richard Blumenthal",4.23996411717122,"blue"
"christopher coons",334100,"Christopher Coons",3.56769440716795,"blue"
"thomas carper",382600,"Thomas Carper",3.61638364565547,"blue"
"rick scott",609126,"Rick Scott",3.78852985272124,"red"
"marco rubio",1842335,"Marco Rubio",4.23191426107195,"red"
"jon ossoff",447274,"Jon Ossoff",3.67330817499015,"blue"
"raphael warnock",4997391,"Raphael Warnock",4.675998175479,"blue"
"brian schatz",956022,"Brian Schatz",3.96320729498631,"blue"
"mazie hirono",258640,"Mazie Hirono",3.47751946162055,"blue"
"charles grassley",1223541,"Charles Grassley",4.06220515248631,"red"
"joni ernst",359090,"Joni Ernst",3.59352219106892,"red"
"james risch",245100,"James Risch",3.45887072919683,"red"
"mike crapo",1304547,"Mike Crapo",4.08833027592198,"red"
"richard durbin",266781,"Richard Durbin",3.4883133465649,"blue"
"tammy duckworth",1551231,"Tammy Duckworth",4.15975399506916,"blue"
"mike braun",336113,"Mike Braun",3.56983818771033,"red"
"todd young",1726018,"Todd Young",4.20440488536322,"red"
"jerry moran",1207849,"Jerry Moran",4.05696503182126,"red"
"roger marshall",269407,"Roger Marshall",3.49173187585706,"red"
"mitch mcconnell",294845,"Mitch McConnell",3.52337912335335,"red"
"rand paul",1177546,"Rand Paul",4.04666998505393,"red"
"bill cassidy",595340,"Bill Cassidy",3.77986689099736,"red"
"john kennedy",1235908,"John Kennedy",4.06629248949223,"red"
"edward markey",349882,"Edward Markey",3.58419937724226,"blue"
"elizabeth warren",286883,"Elizabeth Warren",3.51374694786402,"blue"
"benjamin cardin",144035,"Benjamin Cardin",3.27979578720075,"blue"
"chris van hollen",1371088,"Chris Van Hollen",4.1087198760894,"blue"
"angus king",76300,"Angus King",3.0778854583952,"yellow"
"susan collins",301900,"Susan Collins",3.53172037848884,"red"
"debbie stabenow",670938,"Debbie Stabenow",3.825324121089,"blue"
"gary peters",514685,"Gary Peters",3.72523908700475,"blue"
"tina smith",228058,"Tina Smith",3.43403352864012,"blue"
"amy klobuchar",544257,"Amy Klobuchar",3.746108935463,"blue"
"josh hawley",698724,"Josh Hawley",3.84087847261311,"red"
"roy blunt",79990,"Roy Blunt",3.0924562887485,"red"
"roger wicker",472457,"Roger Wicker",3.69348405763895,"red"
"cindy hyde-smith",235297,"Cindy Hyde-Smith",3.44478117376242,"red"
"jon tester",585180,"Jon Tester",3.77336613510968,"blue"
"steve daines",263470,"Steve Daines",3.48395965502129,"red"
"richard burr",122750,"Richard Burr",3.22776679884595,"red"
"thom tillis",239800,"Thom Tillis",3.4513175343595,"red"
"kevin cramer",305200,"Kevin Cramer",3.53556196292786,"red"
"john hoeven",1107307,"John Hoeven",4.02185866371025,"red"
"ben sasse",413450,"Ben Sasse",3.64453646294898,"red"
"deb fischer",374412,"Deb Fischer",3.60856868450061,"red"
"jeanne shaheen",316767,"Jeanne Shaheen",3.54873845905067,"blue"
"margaret hassan",3570190,"Margaret Hassan",4.52136046940636,"blue"
"cory booker",666768,"Cory Booker",3.82293993776325,"blue"
"robert menendez",1215474,"Robert Menendez",4.05951889658275,"blue"
"martin heinrich",479711,"Martin Heinrich",3.69911614662183,"blue"
