"Id","Amount","Label","Size","Color"
"don young",794212,"Don Young",3.8903945168877,"red"
"mike rogers",725445,"Mike Rogers",3.85532015889811,"red"
"robert aderholt",744569,"Robert Aderholt",3.86536486783676,"red"
"mo brooks",480958,"Mo Brooks",3.7000766021469,"red"
"gary palmer",604995,"Gary Palmer",3.78595265433853,"red"
"terri sewell",963100,"Terri Sewell",3.96613176324757,"blue"
"rick crawford",521775,"Rick Crawford",3.73033922270698,"red"
"french hill",1116220,"French Hill",4.02508429501131,"red"
"steve womack",669719,"Steve Womack",3.82462854460347,"red"
"bruce westerman",697263,"Bruce Westerman",3.84007460577884,"red"
"tom o'halleran",1165995,"Tom O'Halleran",4.04268281933517,"blue"
"ann kirkpatrick",652458,"Ann Kirkpatrick",3.81465491106224,"blue"
"raul grijalva",472914,"Raul Grijalva",3.69384116695243,"blue"
"paul gosar",352345,"Paul Gosar",3.58671452300539,"red"
"andy biggs",515237,"Andy Biggs",3.72563842644767,"red"
"david schweikert",836383,"David Schweikert",3.91057410097442,"red"
"ruben gallego",736105,"Ruben Gallego",3.86094821574967,"blue"
"debbie  lesko",589039,"Debbie  Lesko",3.77584714741594,"red"
"greg stanton",740779,"Greg Stanton",3.86339280105515,"blue"
"doug lamalfa",604221,"Doug LaMalfa",3.78546801963356,"red"
"jared huffman",452140,"Jared Huffman",3.67728502347128,"blue"
"john garamendi",611604,"John Garamendi",3.79006825938436,"blue"
"tom mcclintock",514431,"Tom McClintock",3.72505520347872,"red"
"mike thompson",891153,"Mike Thompson",3.93545750583356,"blue"
"doris matsui",638465,"Doris Matsui",3.80639373136368,"blue"
"ami bera",823454,"Ami Bera",3.90448657896648,"blue"
"jerry mcnerney",595034,"Jerry McNerney",3.77967256390994,"blue"
"josh harder",1756226,"Josh Harder",4.21170593001528,"blue"
"mark desaulnier",406040,"Mark DeSaulnier",3.63795130749269,"blue"
"nancy pelosi",1666382,"Nancy Pelosi",4.18964722850036,"blue"
"barbara lee",677159,"Barbara Lee",3.82885628464456,"blue"
"jackie speier",527397,"Jackie Speier",3.73433921697366,"blue"
"eric swalwell",857232,"Eric Swalwell",3.92021456107641,"blue"
"jim costa",926655,"Jim Costa",3.9508615169923,"blue"
"ro khanna",1028203,"Ro Khanna",3.99215952024463,"blue"
"anna eshoo",946281,"Anna Eshoo",3.95915050933538,"blue"
"zoe lofgren",830103,"Zoe Lofgren",3.90762786929503,"blue"
"jimmy panetta",775004,"Jimmy Panetta",3.88088161024933,"blue"
"david valadao",860562,"David Valadao",3.92173475055149,"red"
"devin nunes",1099347,"Devin Nunes",4.01895811036718,"red"
"kevin mccarthy",1603089,"Kevin McCarthy",4.17345527194798,"red"
"salud carbajal",719625,"Salud Carbajal",3.85221594247759,"blue"
"mike garcia",1093639,"Mike Garcia",4.01686650606791,"red"
"julia brownley",730926,"Julia Brownley",3.85822313680778,"blue"
"judy chu",675353,"Judy Chu",3.82783389145365,"blue"
"adam schiff",1389440,"Adam Schiff",4.11418654694578,"blue"
"tony cardenas",725255,"Tony Cardenas",3.85521917299604,"blue"
"brad sherman",701815,"Brad Sherman",3.84257421906822,"blue"
"pete aguilar",891846,"Pete Aguilar",3.93576343737842,"blue"
"grace napolitano",374519,"Grace Napolitano",3.60867179743582,"blue"
"ted lieu",777937,"Ted Lieu",3.8823478332907,"blue"
"jimmy gomez",771253,"Jimmy Gomez",3.87899916966336,"blue"
"norma torres",462433,"Norma Torres",3.68557184734975,"blue"
"raul ruiz",830051,"Raul Ruiz",3.90760339011866,"blue"
"karen bass",870335,"Karen Bass",3.92616588306759,"blue"
"linda sanchez",719790,"Linda Sanchez",3.85230425931733,"blue"
"lucille roybal-allard",534050,"Lucille Roybal-Allard",3.7390234759715,"blue"
"mark takano",546012,"Mark Takano",3.74731514883905,"blue"
"ken calvert",891405,"Ken Calvert",3.93556877843376,"red"
"maxine waters",995551,"Maxine Waters",3.97929697072079,"blue"
"nanette barragan",619242,"Nanette Barragan",3.79477508458197,"blue"
"katie porter",1374081,"Katie Porter",4.10961590429895,"blue"
"luis correa",729275,"Luis Correa",3.85735076253316,"blue"
"alan lowenthal",508760,"Alan Lowenthal",3.72092825159598,"blue"
"mike levin",1019081,"Mike Levin",3.98860354083003,"blue"
"darrell issa",609323,"Darrell Issa",3.78865236132924,"red"
"juan vargas",581315,"Juan Vargas",3.77086646176144,"blue"
"scott peters",835403,"Scott Peters",3.91011565253499,"blue"
"diana degette",668747,"Diana DeGette",3.82407309237047,"blue"
"joe neguse",611242,"Joe Neguse",3.78984387068207,"blue"
"ken buck",316033,"Ken Buck",3.54791530067956,"red"
"doug lamborn",459850,"Doug Lamborn",3.6835080141715,"red"
"jason crow",1135031,"Jason Crow",4.03181663429692,"blue"
"ed perlmutter",920755,"Ed Perlmutter",3.94833877225385,"blue"
"john larson",792995,"John Larson",3.88979796608564,"blue"
"joe courtney",584540,"Joe Courtney",3.77295324613787,"blue"
"rosa delauro",805221,"Rosa DeLauro",3.89575385657964,"blue"
"jim himes",732151,"Jim Himes",3.85886927097478,"blue"
"jahana hayes",729609,"Jahana Hayes",3.85752738859438,"blue"
"lisa blunt rochester",825778,"Lisa Blunt Rochester",3.90558712899164,"blue"
"matt gaetz",394417,"Matt Gaetz",3.62740095118352,"red"
"neal dunn",477304,"Neal Dunn",3.69725587226733,"red"
"john rutherford",662075,"John Rutherford",3.8202406276092,"red"
"al lawson",530000,"Al Lawson",3.73617824203554,"blue"
"michael waltz",787973,"Michael Waltz",3.88732752681817,"red"
"stephanie murphy",1017269,"Stephanie Murphy",3.98789377006843,"blue"
"bill posey",516205,"Bill Posey",3.72633778860985,"red"
"darren soto",638712,"Darren Soto",3.80654096192706,"blue"
"val demings",624515,"Val Demings",3.79799411446187,"blue"
"daniel webster",387766,"Daniel Webster",3.62123719632341,"red"
"gus bilirakis",738584,"Gus Bilirakis",3.8622465110229,"red"
"charlie crist",967610,"Charlie Crist",3.96798511934836,"blue"
"kathy castor",558520,"Kathy Castor",3.75581223984781,"blue"
"vern buchanan",1126666,"Vern Buchanan",4.02883534820006,"red"
"gregory steube",426303,"Gregory Steube",3.65571085989572,"red"
"brian mast",772154,"Brian Mast",3.87945208748534,"red"
"alcee hastings",452533,"Alcee Hastings",3.67760452806286,"blue"
"lois frankel",721379,"Lois Frankel",3.85315384585722,"blue"
"ted deutch",619750,"Ted Deutch",3.79508627705017,"blue"
"debbie wasserman schultz",848813,"Debbie Wasserman Schultz",3.91634733923602,"blue"
"frederica wilson",378410,"Frederica Wilson",3.6124035506033,"blue"
"mario diaz-balart",850750,"Mario Diaz-Balart",3.9172401372933,"red"
"buddy carter",849937,"Buddy Carter",3.91686563402065,"red"
"sanford bishop",770550,"Sanford Bishop",3.87864545232441,"blue"
"drew ferguson",914828,"Drew Ferguson",3.94578979130456,"red"
"henry johnson",455460,"Henry Johnson",3.6799763209066,"blue"
"lucy mcbath",1336052,"Lucy McBath",4.09809796644676,"blue"
"austin scott",541950,"Austin Scott",3.74451799542539,"red"
"jody hice",408624,"Jody Hice",3.64025986170658,"red"
"barry loudermilk",590454,"Barry Loudermilk",3.77675320913739,"red"
"rick allen",557210,"Rick Allen",3.75493038874409,"red"
"david scott",810600,"David Scott",3.89834848988633,"blue"
"ed case",384075,"Ed Case",3.61777542152627,"blue"
"cynthia axne",1269482,"Cynthia Axne",4.07720600086594,"blue"
"russ fulcher",390948,"Russ Fulcher",3.62419785985134,"red"
"mike simpson",652195,"Mike Simpson",3.81450111782661,"red"
"bobby rush",467151,"Bobby Rush",3.68931492076264,"blue"
"robin kelly",768499,"Robin Kelly",3.87761182097215,"blue"
"jesus garcia",503465,"Jesus Garcia",3.71703737914552,"blue"
"mike quigley",656256,"Mike Quigley",3.81686965093997,"blue"
"sean casten",1139580,"Sean Casten",4.033429606958,"blue"
"danny davis",463856,"Danny Davis",3.68670440503719,"blue"
"raja krishnamoorthi",1223128,"Raja Krishnamoorthi",4.06206801399928,"blue"
"janice schakowsky",696181,"Janice Schakowsky",3.83947829348425,"blue"
"bradley schneider",1059867,"Bradley Schneider",4.00428644518968,"blue"
"bill foster",959996,"Bill Foster",3.96485165067486,"blue"
"mike bost",896218,"Mike Bost",3.93768858100514,"red"
"rodney davis",1094014,"Rodney Davis",4.01700421993531,"red"
"lauren underwood",1424883,"Lauren Underwood",4.12456280005917,"blue"
"adam kinzinger",904963,"Adam Kinzinger",3.94151408012346,"red"
"cheri bustos",1164732,"Cheri Bustos",4.04224470434135,"blue"
"darin lahood",1057352,"Darin LaHood",4.00333523617888,"red"
"jackie walorski",947905,"Jackie Walorski",3.9598294514549,"red"
"jim banks",618226,"Jim Banks",3.79415200975151,"red"
"james baird",289881,"James Baird",3.51740174804951,"red"
"greg pence",580876,"Greg Pence",3.77058159500092,"red"
"andré carson",581130,"André Carson",3.77074643901642,"blue"
"larry bucshon",681205,"Larry Bucshon",3.83113788421179,"red"
"trey hollingsworth",722440,"Trey Hollingsworth",3.85372019072524,"red"
"sharice davids",1169647,"Sharice Davids",4.04394724242793,"blue"
"ron estes",875050,"Ron Estes",3.92828769790041,"red"
"james comer",485948,"James Comer",3.70389767227747,"red"
"brett guthrie",729001,"Brett Guthrie",3.85720581133559,"red"
"john yarmuth",522596,"John Yarmuth",3.73092576712519,"blue"
"thomas massie",478586,"Thomas Massie",3.69824772710859,"red"
"harold rogers",491249,"Harold Rogers",3.707918398758,"red"
"andy barr",1168083,"Andy Barr",4.04340617812118,"red"
"steve scalise",1502591,"Steve Scalise",4.14652299663157,"red"
"cedric richmond",793250,"Cedric Richmond",3.88992303055368,"blue"
"clay higgins",421632,"Clay Higgins",3.65168541103528,"red"
"mike johnson",629749,"Mike Johnson",3.80116523542213,"red"
"ralph abraham",37150,"Ralph Abraham",2.86415081051447,"red"
